Geography Code,LGD2014_nm,Area_ha,Perim_km,Geography,All usual residents,"Area (hectares)
[note 1, 2]",Population density (number of usual residents per hectare)
N20000070,Antrim and Newtownabbey,9.47,1.67,Antrim_J4,426,9.47,44.999291415488756
N20000071,Antrim and Newtownabbey,8.78,1.32,Antrim_G5,337,8.78,38.37346721037662
N20000072,Antrim and Newtownabbey,26.57,2.62,Antrim_L2,559,26.57,21.041042188679235
N20000073,Antrim and Newtownabbey,8.2,1.39,Antrim_F4,473,8.2,57.67995398263419
N20000074,Antrim and Newtownabbey,11.34,1.77,Antrim_K3,468,11.34,41.274076846544624
N20000075,Antrim and Newtownabbey,6.74,1.18,Antrim_L3,432,6.74,64.11275809293804
N20000076,Antrim and Newtownabbey,10.47,1.46,Antrim_N1,373,10.47,35.6315635088545
N20000077,Antrim and Newtownabbey,7.37,1.31,Antrim_N2,306,7.37,41.509813653640464
N20000078,Antrim and Newtownabbey,7.53,1.54,Antrim_F5,324,7.53,43.03993475694677
N20000079,Antrim and Newtownabbey,8.19,1.5,Antrim_K4,387,8.19,47.280182592998194
N20000080,Antrim and Newtownabbey,32.83,3.77,Antrim_J5,633,32.83,19.280548129202355
N20000081,Antrim and Newtownabbey,6.09,1.19,Antrim_N3,334,6.09,54.809099377239235
N20000082,Antrim and Newtownabbey,9.03,1.55,Antrim_K5,452,9.03,50.03328379911937
N20000083,Antrim and Newtownabbey,4.65,0.92,Antrim_N4,270,4.65,58.07336748561986
N20000084,Antrim and Newtownabbey,173.85,9.22,Antrim_N5,288,173.85,1.6565977388285709
N20000085,Antrim and Newtownabbey,81.98,5.09,Antrim_L4,594,81.98,7.245659106555126
N20000086,Antrim and Newtownabbey,56.24,3.59,Ballyclare_F1,611,56.24,10.863399464488174
N20000087,Antrim and Newtownabbey,732.76,13.67,Ballyclare_A1,473,732.76,0.6455063704060034
N20000088,Antrim and Newtownabbey,142.07,6.35,Ballyclare_F2,485,142.07,3.413772808916397
N20000089,Antrim and Newtownabbey,745.18,14.92,Ballyclare_F3,680,745.18,0.9125313124140996
N20000090,Antrim and Newtownabbey,16.5,2.4,Ballyclare_B1,804,16.5,48.71524823006417
N20000091,Antrim and Newtownabbey,8.46,1.34,Ballyclare_A2,509,8.46,60.136694551446894
N20000092,Antrim and Newtownabbey,52.37,3.44,Ballyclare_B2,802,52.37,15.314836321556724
N20000093,Antrim and Newtownabbey,12.04,1.83,Ballyclare_B3,408,12.04,33.87841822834662
N20000094,Antrim and Newtownabbey,41.38,3.3,Ballyclare_B4,427,41.38,10.318605329028353
N20000095,Antrim and Newtownabbey,5.45,1.16,Ballyclare_C1,397,5.45,72.80148250753099
N20000096,Antrim and Newtownabbey,15.36,2.12,Ballyclare_A3,582,15.36,37.89857461586778
N20000097,Antrim and Newtownabbey,25.81,3.18,Ballyclare_B5,574,25.81,22.23714084848847
N20000098,Antrim and Newtownabbey,12.49,1.89,Ballyclare_D1,383,12.49,30.663762539345726
N20000099,Antrim and Newtownabbey,619.97,16.65,Ballyclare_A4,464,619.97,0.7484202464157623
N20000100,Antrim and Newtownabbey,1144.91,19.24,Ballyclare_F4,705,1144.91,0.6157691018743388
N20000101,Antrim and Newtownabbey,10.48,1.87,Ballyclare_D2,463,10.48,44.1970316938896
N20000102,Antrim and Newtownabbey,13.97,2.16,Ballyclare_D3,475,13.97,33.9955760200108
N20000103,Antrim and Newtownabbey,11.16,1.92,Ballyclare_C2,353,11.16,31.617433577389093
N20000104,Antrim and Newtownabbey,12.57,2.1,Ballyclare_C3,533,12.57,42.412971270904
N20000105,Antrim and Newtownabbey,12.88,1.44,Ballyclare_C4,408,12.88,31.679805091795604
N20000106,Antrim and Newtownabbey,10.43,1.55,Ballyclare_D4,413,10.43,39.610597310819195
N20000107,Antrim and Newtownabbey,11.32,1.8,Ballyclare_D5,402,11.32,35.52443564343868
N20000108,Antrim and Newtownabbey,30.71,3.33,Ballyclare_C5,349,30.71,11.365021508678332
N20000109,Antrim and Newtownabbey,15.89,1.6,Ballyclare_E1,552,15.89,34.732869742100895
N20000110,Antrim and Newtownabbey,84.23,5.55,Ballyclare_E2,661,84.23,7.847883568236281
N20000111,Antrim and Newtownabbey,10.69,2.14,Ballyclare_E3,557,10.69,52.099067168800744
N20000112,Antrim and Newtownabbey,7.63,1.58,Ballyclare_C6,323,7.63,42.3114768734103
N20000113,Antrim and Newtownabbey,46.08,3.04,Ballyclare_D6,402,46.08,8.724299697534995
N20000114,Antrim and Newtownabbey,9.58,1.87,Ballyclare_E4,439,9.58,45.818318523322354
N20000115,Antrim and Newtownabbey,53.6,4.51,Ballyclare_E5,727,53.6,13.563651519056897
N20000116,Antrim and Newtownabbey,19.7,2.66,Ballyclare_G1,311,19.7,15.789878023892808
N20000117,Antrim and Newtownabbey,10.82,1.37,Ballyclare_G2,343,10.82,31.703989389845376
N20000118,Antrim and Newtownabbey,10.92,1.58,Ballyclare_G3,418,10.92,38.284158526010614
N20000119,Antrim and Newtownabbey,22.18,2.22,Ballyclare_G4,332,22.18,14.965668610562565
N20000120,Antrim and Newtownabbey,790.61,13.52,Ballyclare_H1,402,790.61,0.5084672494304839
N20000121,Antrim and Newtownabbey,1916.24,21.73,Ballyclare_F5,705,1916.24,0.36790841909709443
N20000122,Antrim and Newtownabbey,1035.92,22.29,Ballyclare_H2,712,1035.92,0.6873145425060396
N20000123,Antrim and Newtownabbey,18.11,2.12,Ballyclare_H3,487,18.11,26.89374274661966
N20000124,Antrim and Newtownabbey,546.42,11.1,Three_Mile_Water_A1,457,546.42,0.8363480807354623
N20000125,Antrim and Newtownabbey,545.51,11.78,Three_Mile_Water_B1,438,545.51,0.8029185953188339
N20000126,Antrim and Newtownabbey,13.22,1.63,Three_Mile_Water_C1,611,13.22,46.213904615089085
N20000127,Antrim and Newtownabbey,6.71,1.15,Three_Mile_Water_A2,193,6.71,28.763620217199968
N20000128,Antrim and Newtownabbey,14.66,2.53,Three_Mile_Water_C2,701,14.66,47.80342808903127
N20000129,Antrim and Newtownabbey,84.46,5.57,Three_Mile_Water_A3,826,84.46,9.779993241728594
N20000130,Antrim and Newtownabbey,16.29,1.93,Three_Mile_Water_D1,561,16.29,34.44875432876716
